City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
229,Komatipoort,ZA,-25.4332,31.9548,59.05,72,3,4.12,clear sky
230,Lerwick,GB,60.1545,-1.1494,48.2,85,100,10.0,overcast clouds
231,Yellowknife,CA,62.456,-114.3525,53.56,23,40,8.99,scattered clouds
232,Horsham,GB,51.064,-0.3272,55.26,84,0,3.44,clear sky
233,Fukue,JP,32.6881,128.8419,69.46,63,100,3.53,overcast clouds
234,Adrar,MR,20.5022,-10.0711,83.62,9,92,4.63,overcast clouds
235,Salinas,US,36.6777,-121.6555,72.48,49,0,18.41,clear sky
236,Pangnirtung,CA,66.1451,-65.7125,28.67,85,100,3.51,overcast clouds
237,Shelburne,CA,44.0787,-80.2041,58.23,69,70,7.99,broken clouds
238,Belle Glade,US,26.6845,-80.6676,82.06,79,17,10.04,few clouds
239,North Bend,US,43.4065,-124.2243,54.25,80,40,17.27,scattered clouds
240,Mahibadhoo,MV,3.7833,72.9667,82.04,80,100,13.62,overcast clouds
241,Kupang,ID,-10.1667,123.5833,86.85,54,6,12.15,clear sky
242,Tocopilla,CL,-22.092,-70.1979,65.07,67,2,9.06,clear sky
243,Coquimbo,CL,-29.9533,-71.3436,58.03,78,2,1.25,clear sky
244,Praia,CV,14.9215,-23.5087,72.14,73,0,12.66,clear sky
245,Nyrob,RU,60.733,56.7202,33.96,98,100,5.61,light snow
246,Mnogovershinnyy,RU,53.9353,139.9242,45.73,56,21,4.81,few clouds
247,Talnakh,RU,69.4865,88.3972,38.21,75,97,6.85,overcast clouds
248,Khandyga,RU,62.6667,135.6,42.3,87,100,7.56,light rain
249,Dunedin,NZ,-45.8742,170.5036,47.8,59,33,13.0,light rain
250,Alice Springs,AU,-23.7,133.8833,69.22,32,0,8.05,clear sky
251,Hovd,MN,48.0056,91.6419,68.02,27,100,1.41,overcast clouds
252,Inhambane,MZ,-23.865,35.3833,68.86,88,3,7.05,clear sky
253,Saint-Philippe,RE,-21.3585,55.7679,69.39,75,34,9.37,scattered clouds
254,Nanortalik,GL,60.1432,-45.2371,36.54,69,98,9.26,overcast clouds
255,Toamasina,MG,-18.1667,49.3833,69.64,86,89,11.41,light rain
256,Mikhaylovskoye,RU,51.8239,79.7172,64.76,32,0,9.89,clear sky
257,Tarakan,ID,3.3,117.6333,78.3,94,75,4.61,moderate rain
258,Haines Junction,CA,60.7522,-137.5108,54.23,38,46,5.82,scattered clouds
259,Acapulco,MX,16.8634,-99.8901,80.42,69,0,8.05,clear sky
260,Salvador,SV,13.8333,-88.9167,73.06,93,95,1.92,overcast clouds
261,Limbang,MY,4.75,115.0,75.31,97,100,3.62,overcast clouds
262,Chokurdakh,RU,70.6333,147.9167,33.03,100,92,7.56,overcast clouds
263,Tomatlan,MX,19.9333,-105.25,72.64,77,15,4.25,few clouds
264,Tromso,NO,69.6496,18.957,35.62,75,0,4.61,clear sky
265,Bindura,ZW,-17.3019,31.3306,52.59,86,1,1.1,clear sky
266,Marabba,SD,12.35,32.1833,89.58,38,89,10.36,overcast clouds
267,Mahebourg,MU,-20.4081,57.7,71.26,82,22,10.96,light rain
268,Nome,US,64.5011,-165.4064,56.16,58,71,5.1,broken clouds
269,Beya,RU,53.0533,90.9139,61.77,68,100,6.15,moderate rain
270,Bafra,TR,41.5678,35.9069,52.83,80,8,7.65,clear sky
271,Ponta Delgada,PT,37.7333,-25.6667,61.5,77,75,9.22,broken clouds
272,Bonnyville,CA,54.2668,-110.735,43.93,69,98,11.03,overcast clouds
273,Kaitangata,NZ,-46.2817,169.8464,42.01,91,64,10.94,broken clouds
274,Kyaikto,MM,17.3,97.0167,76.06,97,100,4.9,overcast clouds
